Статистика — Задание 2 (численное интегрирование)
============================================================

Число точек интегрирования: 40,000,000

 p        t       Sp       Ep   Metric
 1 0.022383  1.00000 1.000000 1.000000
 2 0.012202  1.83427 0.917135 1.682273
 4 0.006707  3.33697 0.834242 2.783842
 7 0.004494  4.98033 0.711476 3.543384
 8 0.003859  5.80027 0.725034 4.205392
16 0.002704  8.27907 0.517442 4.283938
20 0.002375  9.42425 0.471213 4.440824
40 0.002008 11.14670 0.278667 3.106223

Оптимальное количество потоков: 20 (Sp×Ep = 4.44)
